Time,Power,Operation,FR,CR,Rho,Insert_Rho
122,2.08638E-09,1.20269E-09,3.99,22.62,12.97,1032.61
123,2.08982E-09,1.9202E-09,3.99,22.62,12.97,1032.61
124,2.09327E-09,1.30201E-09,3.99,22.62,12.97,1032.61
125,2.09672E-09,1.88854E-09,3.99,22.62,12.97,1032.61
126,2.10018E-09,2.04027E-09,3.99,22.62,12.97,1032.61
127,2.10365E-09,1.87453E-09,3.99,22.62,12.97,1032.61
128,2.10712E-09,2.18461E-09,3.99,22.62,12.97,1032.61
129,2.11059E-09,1.95222E-09,3.99,22.62,12.97,1032.61
130,2.11407E-09,2.11185E-09,3.99,22.62,12.97,1032.61
131,2.11755E-09,1.8435E-09,3.99,22.62,12.97,1032.61
132,2.12104E-09,1.99372E-09,3.99,22.62,12.97,1032.61
133,2.12454E-09,1.40236E-09,3.99,22.62,12.97,1032.61
134,2.12803E-09,1.97794E-09,3.99,22.62,12.97,1032.61
135,2.13154E-09,1.20325E-09,3.99,22.62,12.97,1032.61
136,2.13505E-09,1.99867E-09,3.99,22.62,12.97,1032.61
137,2.13856E-09,2.22368E-09,3.99,22.62,12.97,1032.61
138,2.14208E-09,2.00897E-09,3.99,22.62,12.97,1032.61
139,2.14561E-09,1.20348E-09,3.99,22.62,12.97,1032.61
140,2.14914E-09,1.88753E-09,3.99,22.62,12.97,1032.61
141,2.15267E-09,2.18483E-09,3.99,22.62,12.97,1032.61
142,2.15621E-09,1.72261E-09,3.99,22.62,12.97,1032.61
143,2.15976E-09,2.13376E-09,3.99,22.62,12.97,1032.61
144,2.16331E-09,1.95173E-09,3.99,22.62,12.97,1032.61
145,2.16687E-09,2.0879E-09,3.99,22.62,12.97,1032.61
146,2.17043E-09,1.89647E-09,3.99,22.62,12.97,1032.61
147,2.17399E-09,2.06367E-09,3.99,22.62,12.97,1032.61
148,2.17757E-09,1.72138E-09,3.99,22.62,12.97,1032.61
149,2.18114E-09,2.20814E-09,3.99,22.62,12.97,1032.61
150,2.18473E-09,1.41252E-09,3.99,22.62,12.97,1032.61
151,2.18831E-09,2.14285E-09,3.99,22.62,12.97,1032.61
152,2.19191E-09,1.23248E-09,3.99,22.62,12.97,1032.61
153,2.19551E-09,2.03355E-09,3.99,22.62,12.97,1032.61
154,2.19911E-09,1.44319E-09,3.99,22.62,12.97,1032.61
155,2.20272E-09,2.01255E-09,3.99,22.62,12.97,1032.61
156,2.20634E-09,1.24518E-09,3.99,22.62,12.97,1032.61
157,2.20996E-09,1.93164E-09,3.99,22.62,12.97,1032.61
158,2.21358E-09,2.4356E-09,3.99,22.62,12.97,1032.61
159,2.21722E-09,1.67688E-09,3.99,22.62,12.97,1032.61
160,2.22085E-09,2.09704E-09,3.99,22.62,12.97,1032.61
161,2.2245E-09,1.88583E-09,3.99,22.62,12.97,1032.61
162,2.22814E-09,2.00555E-09,3.99,22.62,12.97,1032.61
163,2.2318E-09,1.34788E-09,3.99,22.62,12.97,1032.61
164,2.23546E-09,1.98872E-09,3.99,22.62,12.97,1032.61
165,2.23912E-09,1.55328E-09,3.99,22.62,12.97,1032.61
166,2.24279E-09,2.04848E-09,3.99,22.62,12.97,1032.61
167,2.24647E-09,2.35472E-09,3.99,22.62,12.97,1032.61
168,2.25015E-09,2.05657E-09,3.99,22.62,12.97,1032.61
169,2.25384E-09,2.26253E-09,3.99,22.62,12.97,1032.61
170,2.25753E-09,1.99796E-09,3.99,22.62,12.97,1032.61
171,2.26123E-09,2.28791E-09,3.99,22.62,12.97,1032.61
172,2.26494E-09,1.90932E-09,3.99,22.62,12.97,1032.61
173,2.26865E-09,2.30011E-09,3.99,22.62,12.97,1032.61
174,2.27236E-09,1.61942E-09,3.99,22.62,12.97,1032.61
175,2.27608E-09,2.21974E-09,3.99,22.62,12.97,1032.61
176,2.27981E-09,2.02044E-09,3.99,22.62,12.97,1032.61
177,2.28355E-09,2.11254E-09,3.99,22.62,12.97,1032.61
178,2.28728E-09,1.90754E-09,3.99,22.62,12.97,1032.61
179,2.29103E-09,2.0994E-09,3.99,22.62,12.97,1032.61
