Position       	Rod_FR_Worth   	Rod_CR_Worth   
0.2800         	0.9100         	3.1500         
0.2810         	0.9133         	3.1612         
0.2820         	0.9165         	3.1725         
0.2830         	0.9197         	3.1837         
0.2840         	0.9230         	3.1950         
0.2850         	0.9262         	3.2062         
0.2860         	0.9295         	3.2175         
0.2870         	0.9327         	3.2287         
0.2880         	0.9360         	3.2400         
0.2890         	0.9392         	3.2512         
0.2900         	0.9425         	3.2625         
0.2910         	0.9457         	3.2737         
0.2920         	0.9490         	3.2850         
0.2930         	0.9522         	3.2962         
0.2940         	0.9555         	3.3075         
0.2950         	0.9587         	3.3188         
0.2960         	0.9620         	3.3300         
0.2970         	0.9652         	3.3413         
0.2980         	0.9685         	3.3525         
0.2990         	0.9718         	3.3638         
0.3000         	0.9750         	3.3750         
0.3010         	0.9782         	3.3862         
0.3020         	0.9815         	3.3975         
0.3030         	0.9847         	3.4087         
0.3040         	0.9880         	3.4200         
0.3050         	0.9912         	3.4312         
0.3060         	0.9945         	3.4425         
0.3070         	0.9977         	3.4537         
0.3080         	1.0010         	3.4650         
0.3090         	1.0042         	3.4762         
0.3100         	1.0075         	3.4875         
0.3110         	1.0108         	3.4987         
0.3120         	1.0140         	3.5100         
0.3130         	1.0172         	3.5212         
0.3140         	1.0205         	3.5325         
0.3150         	1.0237         	3.5437         
0.3160         	1.0270         	3.5550         
0.3170         	1.0302         	3.5662         
0.3180         	1.0335         	3.5775         
0.3190         	1.0368         	3.5887         
0.3200         	1.0400         	3.6000         
0.3210         	1.0433         	3.6113         
0.3220         	1.0465         	3.6225         
0.3230         	1.0497         	3.6338         
0.3240         	1.0530         	3.6450         
0.3250         	1.0562         	3.6562         
0.3260         	1.0595         	3.6675         
0.3270         	1.0627         	3.6787         
0.3280         	1.0660         	3.6900         
0.3290         	1.0693         	3.7012         
0.3300         	1.0725         	3.7125         
0.3310         	1.0757         	3.7237         
0.3320         	1.0790         	3.7350         
0.3330         	1.0822         	3.7462         
0.3340         	1.0855         	3.7575         
0.3350         	1.0887         	3.7687         
0.3360         	1.0920         	3.7800         
0.3370         	1.0953         	3.7912         
0.3380         	1.0985         	3.8025         
0.3390         	1.1018         	3.8137         
0.3400         	1.1050         	3.8250         
0.3410         	1.1082         	3.8362         
0.3420         	1.1115         	3.8475         
0.3430         	1.1147         	3.8587         
0.3440         	1.1180         	3.8700         
0.3450         	1.1212         	3.8812         
0.3460         	1.1245         	3.8925         
0.3470         	1.1278         	3.9038         
0.3480         	1.1310         	3.9150         
0.3490         	1.1342         	3.9263         
0.3500         	1.1375         	3.9375         
0.3510         	1.1407         	3.9487         
0.3520         	1.1440         	3.9600         
0.3530         	1.1472         	3.9712         
0.3540         	1.1505         	3.9825         
